1A	a354W0000046U3nQAE	#078a: BONUS! Dr. Blackgaard comes to town
1B	a354W0000046U3sQAE	#079: Our Best Vacation Ever
1C	a354W0000046U3xQAE	#079a: BONUS! The story behind "Our Best Vacation Ever"
1D	a354W0000046U42QAE	#080: A Prisoner for Christ
1E	a354W0000046U47QAE	#081: Good Business
1F	a354W0000046U4CQAU	#082: Heatwave
1G	a354W0000046U4HQAU	#083: The Battle, Part 1 of 2
1H	a354W0000046U4MQAU	#084: The Battle, Part 2 of 2
1I	a354W0000046U4RQAU	#086: Isaac the Insecure
1J	a354W0000046Ty5QAE	#087: Elijah, Part 1 of 2
1K	a354W0000046U4WQAU	#088: Elijah, Part 2 of 2
1L	a354W0000046U4bQAE	#088a: BONUS! Creating the sounds for "Elijah"
1M	a354W0000046U4gQAE	#089: That's Not Fair!
1N	a354W0000046TxWQAU	#090: But, You Promised
1O	a354W0000046U4lQAE	#091: A Mission for Jimmy
1P	a354W0000046U4qQAE	#091a: BONUS! The production of "A Mission for Jimmy"
1Q	a354W0000046U4vQAE	#092: The Ill-Gotten Deed
1R	a354W0000046U50QAE	#092a: BONUS! The voices of host Chris Anthony, featuring studio bloopers
1S	a354W0000046TjVQAU	#093: Rescue from Manatugo Point
1T	a354W0000046U55QAE	#094: Operation: Dig-Out
1U	a354W0000046U5AQAU	#095: The Very Best of Friends
1V	a354W0000046U5FQAU	#096: The Reluctant Rival
1W	a354W0000046U5KQAU	#097: Monty's Christmas
1X	a354W0000046TwxQAE	#098: The Visitors
1Y	a354W0000046U5PQAU	#099: The Barclay Family Ski Vacation
1Z	a354W0000046U5UQAU	#100: Ice Fishing
20	a354W0000046U5ZQAU	#100a: BONUS! The story of writer Campbell Freed
21	a354W0000046U5eQAE	#101: Scattered Seeds
22	a354W0000046U5jQAE	#101a: BONUS! Bloopers from the studio
23	a354W0000046U5oQAE	#102: The Treasure of LeMonde!
24	a354W0000046U5tQAE	#102a: BONUS! The very first Focus dramas - Spare Tire & House Guest
25	a354W0000046U5yQAE	#102b: BONUS! Spare Tire
26	a354W0000046U63QAE	#102c: BONUS! House Guest
27	a354W0000046U68QAE	#103: Front Page News
28	a354W0000046U6DQAU	#104: Lincoln, Part 1 of 2
29	a354W0000046U4XQAU	#105: Lincoln, Part 2 of 2
2a	a354W0000046U6IQAU	#106: By Any Other Name
2b	a354W0000046U6NQAU	#106a: BONUS! The creation of Bernard Walton
2c	a354W0000046U6SQAU	#107: Bad Luck
2d	a354W0000046U6XQAU	#108: Isaac the Courageous
2e	a354W0000046U6cQAE	#109: Two Sides to Every Story
2f	a354W0000046U1dQAE	#110: A...is for Attitude
2g	a354W0000046U6hQAE	#111: First Love
2h	a354W0000046U6mQAE	#111a: BONUS! Connie's loves
2i	a354W0000046U6rQAE	#112: Curious, Isn't It?
2j	a354W0000046TjWQAU	#113: Suspicious Minds
2k	a354W0000046U4rQAE	#114: The Big Broadcast
2l	a354W0000046U6wQAE	#115: An Act of Mercy
2m	a354W0000046Tx2QAE	#116: Isaac the Benevolent
2n	a354W0000046U71QAE	#117: The Trouble With Girls
2o	a354W0000046U76QAE	#118: What Happened to the Silver Streak?
2p	a354W0000046U7BQAU	#119: Better Late than Never
2q	a354W0000046U6OQAU	#120: Pranks for the Memories
2r	a354W0000046U7GQAU	#120a: BONUS! A scene from a never before heard episode - Backwoods Jacobs
2s	a354W0000046U7LQAU	#121: Missing Person
2t	a354W0000046U7QQAU	#122: Castles & Cauldrons, Part 1 of 2
2u	a354W0000046U7VQAU	#123: Castles & Cauldrons, Part 2 of 2
2v	a354W0000046U7aQAE	#124: The Winning Edge
2w	a354W0000046U7fQAE	#124a: BONUS! The creation of Bart Rathbone
2x	a354W0000046U7kQAE	#125: All's Well With Boswell
2y	a354W0000046U7pQAE	#126: Wishful Thinking
2z	a354W0000046U7uQAE	#127: Have You No Selpurcs?
2A	a354W0000046U7zQAE	#128: One Bad Apple
2B	a354W0000046U84QAE	#129: Not One of Us
2C	a354W0000046U2CQAU	#130: Bernard & Joseph, Part 1 of 2
2D	a354W0000046U89QAE	#131: Bernard & Joseph, Part 2 of 2
2E	a354W0000046U8EQAU	#131a: BONUS! Intro to "Whit's Visitor"
2F	a354W0000046U8JQAU	#131b: BONUS! Whit's Visitor
2G	a354W0000046U8OQAU	#132: Thanksgiving at Home
2H	a354W0000046U8TQAU	#133: Cousin Albert
2I	a354W0000046U8YQAU	#134: Pamela Has a Problem
2J	a354W0000046U8dQAE	#135: Back to Bethlehem, Part 1 of 3
2K	a354W0000046U8iQAE	#136: Back to Bethlehem, Part 2 of 3
2L	a354W0000046U8nQAE	#137: Back to Bethlehem, Part 3 of 3
2M	a354W0000046U8sQAE	#137a: BONUS! Intro to "Gone Fishing"
2N	a354W0000046U8xQAE	#137b: BONUS! Gone Fishing
2O	a354W0000046U92QAE	#138: The Adventure of the Adventure
2P	a354W0000046U97QAE	#139: Melanie's Diary
2Q	a354W0000046U6sQAE	#139a: BONUS! Who are the Jacobs girls?
2R	a354W0000046U9CQAU	#140: The Vow
2S	a354W0000046U9HQAU	#141: Over the Airwaves
2T	a354W0000046U80QAE	#141a: BONUS! Recording "Live at the 25"
2U	a354W0000046U9MQAU	#142: Train Ride
2V	a354W0000046U9RQAU	#143: Muckraker
2W	a354W0000046Yh4QAE	#144: Someone to Watch Over Me
2X	a354W0000046U2qQAE	#145: The Second Coming
iW	a35Uh000000IBoDIAW	#145: The Second Coming
2Y	a354W0000046U1JQAU	#146: Emotional Baggage
2Z	a354W0000046U9bQAE	#147: Where There's a Will. . .
30	a354W0000046U5fQAE	#148: Isaac the Procrastinator
31	a354W0000046U9gQAE	#148a: BONUS! Kids who played other roles
32	a354W0000046U98QAE	#149: By Dawn's Early Light
33	a354W0000046U9lQAE	#149a: BONUS! Interview with Phil Lollar about "By Dawn's Early Light"
34	a354W0000046U9qQAE	#150: Home is Where the Hurt Is
35	a354W0000046U9vQAE	#151: . . . The Last Shall Be First
36	a354W0000046UA0QAM	#152: The Meaning of Sacrifice
37	a354W0000046UA5QAM	#152a: BONUS! Live Q & A with the actors
38	a354W0000046UAAQA2	#153: Mayor for a Day
39	a354W0000046UAFQA2	#154: Coming of Age
3a	a354W0000046UAKQA2	#154a: BONUS! Cast and crew interviews about the story behind "Coming of Age"
3b	a354W0000046UAPQA2	#155: Waylaid in the Windy City, Part 1 of 2
3c	a354W0000046UAUQA2	#156: Waylaid in the Windy City, Part 2 of 2
3d	a354W0000046UAZQA2	#156a: BONUS! Paul McCusker talks about the writing of "Waylaid in the Windy City"
3e	a354W0000046U8FQAU	#157: Last in a Long Line
3f	a354W0000046UAeQAM	#158: A Day in the Life
3g	a354W0000046U56QAE	#159: The Homecoming
3h	a354W0000046U5BQAU	#160: A Rathbone of Contention
3i	a354W0000046UAjQAM	#161: Isaac the True Friend
3j	a354W0000046UAoQAM	#162: Peacemaker
3k	a354W0000046UAtQAM	#163: A Model Child
3l	a354W0000046UAyQAM	#164: Sixties-Something
3m	a354W0000046UB3QAM	#165: Bernard and Esther, Part 1 of 2
3n	a354W0000046U6JQAU	#166: Bernard and Esther, Part 2 of 2
3o	a354W0000046UB8QAM	#167: Dobson Comes to Town
3p	a354W0000046UBDQA2	#167a: BONUS! The creation of "Dobson Comes to Town"
3q	a354W0000046U4wQAE	#168: The Curse
3r	a354W0000046U9XQAU	#168a: BONUS! Oops! Script mistakes
3s	a354W0000046UBIQA2	#169: Hold Up!
3t	a354W0000046UBNQA2	#169a: BONUS! Odyssey villains
3u	a354W0000046U0BQAU	#170: A Test for Robyn
3v	a354W0000046UBSQA2	#171: The Cross of Cortes, Part 1 of 2
3w	a354W0000046UBXQA2	#172: The Cross of Cortes, Part 2 of 2
3x	a354W0000046UBcQAM	#173: A Thanksgiving Carol
3y	a354W0000046UBhQAM	#174: Where's Your Daddy?
3z	a354W0000046UBmQAM	#175: East Winds, Raining
3A	a354W0000046TyKQAU	#175a: BONUS! The creation of "East Winds, Raining"
3B	a354W0000046UBrQAM	#176: The Star, Part 1 of 2
3C	a354W0000046U9YQAU	#177: The Star, Part 2 of 2
3D	a354W0000046UBwQAM	#178: Room Mates
3E	a354W0000046UC1QAM	#178a: BONUS! Original promo spot for "At Home and Abroad"
3F	a354W0000046UC6QAM	#179: You Gotta Be Wise
3G	a354W0000046UCBQA2	#179a: BONUS! The creation of the Adventures in Odyssey theme song
3H	a354W0000046UCGQA2	#180: Isaac the Pure
3I	a354W0000046UCLQA2	#181: It Takes Integrity
3J	a354W0000046UCQQA2	#182: The Scales of Justice
3K	a354W0000046UCVQA2	#182a: BONUS! AIO Time Filler Features
3L	a354W0000046TquQAE	#182b: BONUS! Super Sleuth - Your Skin
3M	a354W0000046UCaQAM	#182c: BONUS! Mr. How-To - The House Built on Sand
3N	a354W0000046UCfQAM	#182d: BONUS! Ancient World of Sports - Gideon's Pitch
3O	a354W0000046UCkQAM	#182e: BONUS! Apostle Paul - Paul, Apostle Paul
3P	a354W0000046UCpQAM	#182f: BONUS! Apostle Paul - Armed and Ready
3Q	a354W0000046U7lQAE	#182g: BONUS! And You Think You've Got Problems - Solomon
3R	a354W0000046UCuQAM	#182h: BONUS! And You Think You've Got Problems - Josiah
3S	a354W0000046UCzQAM	#182i: BONUS! And You Think You've Got Problems - Daniel
3T	a354W0000046TqkQAE	#182j: BONUS! Fairy Tale Action News - Humpty Dumpty
3U	a354W0000046UD4QAM	#183: Tales of Moderation
3V	a354W0000046UD9QAM	#184: Isaac the Chivalrous
3W	a354W0000046UDEQA2	#184a: BONUS! The music of "Isaac the Chivalrous
3X	a354W0000046UDJQA2	#185: A Question of Loyalty
3Y	a354W0000046UDOQA2	#186: The Conscientious Cross-Guard
3Z	a354W0000046UDTQA2	#187: An Act of Nobility
40	a354W0000046UDYQA2	#188: The Courage to Stand
41	a354W0000046UDdQAM	#189: No, Honestly!
42	a354W0000046UDiQAM	#190: Moses, the Passover, Part 1 of 2
43	a354W0000046UDnQAM	#191: Moses, the Passover, Part 2 of 2
44	a354W0000046UDsQAM	#192: Modesty is the Best Policy
45	a354W0000046UDxQAM	#193: A Tongue of Fire
46	a354W0000046UE2QAM	#193a: BONUS! The creation of Cryin' Bryan Dern
47	a354W0000046Tc1QAE	#194: A License to Drive
48	a354W0000046UA1QAM	#194a: BONUS! Behind the scenes of "A License to Drive"
49	a354W0000046UE7QAM	#195: Father's Day
4a	a354W0000046TsbQAE	#195a: BONUS! All about "The Letter"
4b	a354W0000046UECQA2	#195b: BONUS! The Letter
4c	a354W0000046UEHQA2	#196: Harlow Doyle, Private Eye
4d	a354W0000046UEMQA2	#196a: BONUS! The creation of Harlow Doyle
4e	a354W0000046UERQA2	#197: The Midnight Ride
4f	a354W0000046UDAQA2	#198: Treasure Hunt
4g	a354W0000046UEWQA2	#198a: BONUS! Controversial Adventures in Odyssey episodes
4h	a354W0000046UEbQAM	#199: The "No" Factor
4i	a354W0000046UEgQAM	#200: Feud for Thought
4j	a354W0000046UElQAM	#201: Fair-Weather Fans
4k	a354W0000046UEqQAM	#202: Timmy's Cabin
4l	a354W0000046UEvQAM	#203: Double Trouble
4m	a354W0000046UF0QAM	#203a: BONUS! The creation of Edwin and Shakespeare
4n	a354W0000046UF5QAM	#204: Wonderworld
4o	a354W0000046U4mQAE	#205: Flash Flood
4p	a354W0000046UFAQA2	#205a: BONUS! Paul Herlinger's audition as Whit
4q	a354W0000046TzhQAE	#206: Pen Pal
4r	a354W0000046UFFQA2	#207: The Case of the Candid Camera
4s	a354W0000046UFKQA2	#208: Pipe Dreams
4t	a354W0000046UFPQA2	#208a: BONUS! Deleted scene from "Pipe Dreams"
4u	a354W0000046UFUQA2	#209: Columbus: The Grand Voyage
4v	a354W0000046UFZQA2	#210: On Solid Ground
4w	a354W0000046U81QAE	#211: The Mortal Coil, Part 1 of 2
